semanas;variacao;vp;vn;fp;fn;acuracia;precisao;sensibilidade;f1score;algoritmo;variavel
1;40-55;25;35;10;0;0,8571428571428571;0,7142857142857143;1,0;0,8333333333333333;lof;frequencia
2;40-55;26;35;9;0;0,8714285714285714;0,7428571428571429;1,0;0,8524590163934427;lof;frequencia
3;40-55;27;35;8;0;0,8857142857142857;0,7714285714285715;1,0;0,870967741935484;lof;frequencia
4;40-55;27;35;8;0;0,8857142857142857;0,7714285714285715;1,0;0,870967741935484;lof;frequencia
5;40-55;29;35;6;0;0,9142857142857143;0,8285714285714286;1,0;0,90625;lof;frequencia
6;40-55;31;35;4;0;0,9428571428571428;0,8857142857142857;1,0;0,9393939393939393;lof;frequencia
7;40-55;30;35;5;0;0,9285714285714286;0,8571428571428571;1,0;0,923076923076923;lof;frequencia
8;40-55;30;35;5;0;0,9285714285714286;0,8571428571428571;1,0;0,923076923076923;lof;frequencia
9;40-55;31;34;4;1;0,9285714285714286;0,8857142857142857;0,96875;0,9253731343283582;lof;frequencia
10;40-55;31;33;4;2;0,9142857142857143;0,8857142857142857;0,9393939393939394;0,9117647058823529;lof;frequencia
11;40-55;31;33;4;2;0,9142857142857143;0,8857142857142857;0,9393939393939394;0,9117647058823529;lof;frequencia
12;40-55;32;33;3;2;0,9285714285714286;0,9142857142857143;0,9411764705882353;0,9275362318840579;lof;frequencia
13;40-55;32;30;3;5;0,8857142857142857;0,9142857142857143;0,8648648648648649;0,888888888888889;lof;frequencia
14;40-55;32;30;3;5;0,8857142857142857;0,9142857142857143;0,8648648648648649;0,888888888888889;lof;frequencia
15;40-55;32;30;3;5;0,8857142857142857;0,9142857142857143;0,8648648648648649;0,888888888888889;lof;frequencia
16;40-55;32;29;3;6;0,8714285714285714;0,9142857142857143;0,8421052631578947;0,8767123287671234;lof;frequencia
17;40-55;32;21;3;14;0,7571428571428571;0,9142857142857143;0,6956521739130435;0,7901234567901234;lof;frequencia
18;40-55;33;21;2;14;0,7714285714285715;0,9428571428571428;0,7021276595744681;0,8048780487804879;lof;frequencia
