semanas;variacao;vp;vn;fp;fn;acuracia;precisao;sensibilidade;f1score;algoritmo;variavel
1;20-35;35;2;0;33;0,5285714285714286;1,0;0,5147058823529411;0,6796116504854368;ocsvm;dfreq
2;20-35;35;6;0;29;0,5857142857142857;1,0;0,546875;0,7070707070707071;ocsvm;dfreq
3;20-35;35;15;0;20;0,7142857142857143;1,0;0,6363636363636364;0,7777777777777778;ocsvm;dfreq
4;20-35;35;21;0;14;0,8;1,0;0,7142857142857143;0,8333333333333333;ocsvm;dfreq
5;20-35;34;21;1;14;0,7857142857142857;0,9714285714285714;0,7083333333333334;0,8192771084337349;ocsvm;dfreq
6;20-35;34;24;1;11;0,8285714285714286;0,9714285714285714;0,7555555555555555;0,85;ocsvm;dfreq
7;20-35;34;23;1;12;0,8142857142857143;0,9714285714285714;0,7391304347826086;0,8395061728395062;ocsvm;dfreq
8;20-35;34;24;1;11;0,8285714285714286;0,9714285714285714;0,7555555555555555;0,85;ocsvm;dfreq
9;20-35;34;25;1;10;0,8428571428571429;0,9714285714285714;0,7727272727272727;0,8607594936708862;ocsvm;dfreq
10;20-35;35;25;0;10;0,8571428571428571;1,0;0,7777777777777778;0,8750000000000001;ocsvm;dfreq
11;20-35;34;25;1;10;0,8428571428571429;0,9714285714285714;0,7727272727272727;0,8607594936708862;ocsvm;dfreq
12;20-35;34;25;1;10;0,8428571428571429;0,9714285714285714;0,7727272727272727;0,8607594936708862;ocsvm;dfreq
13;20-35;34;26;1;9;0,8571428571428571;0,9714285714285714;0,7906976744186046;0,8717948717948717;ocsvm;dfreq
14;20-35;34;28;1;7;0,8857142857142857;0,9714285714285714;0,8292682926829268;0,8947368421052632;ocsvm;dfreq
15;20-35;34;29;1;6;0,9;0,9714285714285714;0,85;0,9066666666666667;ocsvm;dfreq
16;20-35;34;30;1;5;0,9142857142857143;0,9714285714285714;0,8717948717948718;0,9189189189189189;ocsvm;dfreq
17;20-35;34;29;1;6;0,9;0,9714285714285714;0,85;0,9066666666666667;ocsvm;dfreq
18;20-35;34;30;1;5;0,9142857142857143;0,9714285714285714;0,8717948717948718;0,9189189189189189;ocsvm;dfreq
