semanas;variacao;vp;vn;fp;fn;acuracia;precisao;sensibilidade;f1score;algoritmo
1;60-75;27;29;8;6;0,8;0,7714285714285715;0,8181818181818182;0,7941176470588236;iforest
2;60-75;32;26;3;9;0,8285714285714286;0,9142857142857143;0,7804878048780488;0,8421052631578947;iforest
3;60-75;28;35;7;0;0,9;0,8;1,0;0,888888888888889;iforest
4;60-75;27;35;8;0;0,8857142857142857;0,7714285714285715;1,0;0,870967741935484;iforest
5;60-75;27;35;8;0;0,8857142857142857;0,7714285714285715;1,0;0,870967741935484;iforest
6;60-75;28;35;7;0;0,9;0,8;1,0;0,888888888888889;iforest
7;60-75;30;35;5;0;0,9285714285714286;0,8571428571428571;1,0;0,923076923076923;iforest
8;60-75;32;35;3;0;0,9571428571428572;0,9142857142857143;1,0;0,955223880597015;iforest
9;60-75;34;35;1;0;0,9857142857142858;0,9714285714285714;1,0;0,9855072463768115;iforest
10;60-75;34;35;1;0;0,9857142857142858;0,9714285714285714;1,0;0,9855072463768115;iforest
11;60-75;33;35;2;0;0,9714285714285714;0,9428571428571428;1,0;0,9705882352941176;iforest
12;60-75;29;35;6;0;0,9142857142857143;0,8285714285714286;1,0;0,90625;iforest
13;60-75;32;34;3;1;0,9428571428571428;0,9142857142857143;0,9696969696969697;0,9411764705882354;iforest
14;60-75;31;35;4;0;0,9428571428571428;0,8857142857142857;1,0;0,9393939393939393;iforest
15;60-75;34;33;1;2;0,9571428571428572;0,9714285714285714;0,9444444444444444;0,9577464788732395;iforest
16;60-75;33;34;2;1;0,9571428571428572;0,9428571428571428;0,9705882352941176;0,9565217391304348;iforest
17;60-75;34;34;1;1;0,9714285714285714;0,9714285714285714;0,9714285714285714;0,9714285714285714;iforest
18;60-75;33;35;2;0;0,9714285714285714;0,9428571428571428;1,0;0,9705882352941176;iforest
