semanas;variacao;vp;vn;fp;fn;acuracia;precisao;sensibilidade;f1score;algoritmo;variavel
1;20-95;34;35;1;0;0,9857142857142858;0,9714285714285714;1,0;0,9855072463768115;lof;frequencia
2;20-95;35;35;0;0;1,0;1,0;1,0;1,0;lof;frequencia
3;20-95;35;35;0;0;1,0;1,0;1,0;1,0;lof;frequencia
4;20-95;35;35;0;0;1,0;1,0;1,0;1,0;lof;frequencia
5;20-95;35;35;0;0;1,0;1,0;1,0;1,0;lof;frequencia
6;20-95;35;35;0;0;1,0;1,0;1,0;1,0;lof;frequencia
7;20-95;35;35;0;0;1,0;1,0;1,0;1,0;lof;frequencia
8;20-95;35;35;0;0;1,0;1,0;1,0;1,0;lof;frequencia
9;20-95;35;34;0;1;0,9857142857142858;1,0;0,9722222222222222;0,9859154929577464;lof;frequencia
10;20-95;35;33;0;2;0,9714285714285714;1,0;0,9459459459459459;0,9722222222222222;lof;frequencia
11;20-95;35;33;0;2;0,9714285714285714;1,0;0,9459459459459459;0,9722222222222222;lof;frequencia
12;20-95;35;33;0;2;0,9714285714285714;1,0;0,9459459459459459;0,9722222222222222;lof;frequencia
13;20-95;35;30;0;5;0,9285714285714286;1,0;0,875;0,9333333333333333;lof;frequencia
14;20-95;35;30;0;5;0,9285714285714286;1,0;0,875;0,9333333333333333;lof;frequencia
15;20-95;35;30;0;5;0,9285714285714286;1,0;0,875;0,9333333333333333;lof;frequencia
16;20-95;35;29;0;6;0,9142857142857143;1,0;0,8536585365853658;0,9210526315789475;lof;frequencia
17;20-95;35;21;0;14;0,8;1,0;0,7142857142857143;0,8333333333333333;lof;frequencia
18;20-95;35;21;0;14;0,8;1,0;0,7142857142857143;0,8333333333333333;lof;frequencia
