semanas;variacao;vp;vn;fp;fn;acuracia;precisao;sensibilidade;f1score;algoritmo;variavel
1;20-35;15;26;20;9;0,5857142857142857;0,42857142857142855;0,625;0,5084745762711864;rce;duracao
2;20-35;12;31;23;4;0,6142857142857143;0,34285714285714286;0,75;0,47058823529411753;rce;duracao
3;20-35;2;35;33;0;0,5285714285714286;0,05714285714285714;1,0;0,1081081081081081;rce;duracao
4;20-35;0;35;35;0;0,5;0,0;0,0;0,0;rce;duracao
5;20-35;2;35;33;0;0,5285714285714286;0,05714285714285714;1,0;0,1081081081081081;rce;duracao
6;20-35;0;35;35;0;0,5;0,0;0,0;0,0;rce;duracao
7;20-35;1;35;34;0;0,5142857142857142;0,02857142857142857;1,0;0,05555555555555556;rce;duracao
8;20-35;1;35;34;0;0,5142857142857142;0,02857142857142857;1,0;0,05555555555555556;rce;duracao
9;20-35;1;35;34;0;0,5142857142857142;0,02857142857142857;1,0;0,05555555555555556;rce;duracao
10;20-35;1;35;34;0;0,5142857142857142;0,02857142857142857;1,0;0,05555555555555556;rce;duracao
11;20-35;1;35;34;0;0,5142857142857142;0,02857142857142857;1,0;0,05555555555555556;rce;duracao
12;20-35;1;35;34;0;0,5142857142857142;0,02857142857142857;1,0;0,05555555555555556;rce;duracao
13;20-35;1;35;34;0;0,5142857142857142;0,02857142857142857;1,0;0,05555555555555556;rce;duracao
14;20-35;1;35;34;0;0,5142857142857142;0,02857142857142857;1,0;0,05555555555555556;rce;duracao
15;20-35;1;35;34;0;0,5142857142857142;0,02857142857142857;1,0;0,05555555555555556;rce;duracao
16;20-35;1;35;34;0;0,5142857142857142;0,02857142857142857;1,0;0,05555555555555556;rce;duracao
17;20-35;1;35;34;0;0,5142857142857142;0,02857142857142857;1,0;0,05555555555555556;rce;duracao
18;20-35;1;35;34;0;0,5142857142857142;0,02857142857142857;1,0;0,05555555555555556;rce;duracao
