semanas;variacao;vp;vn;fp;fn;acuracia;precisao;sensibilidade;f1score;algoritmo;variavel
1;40-55;3;35;32;0;0,5428571428571428;0,08571428571428572;1,0;0,15789473684210528;lof;duracao
2;40-55;4;35;31;0;0,5571428571428572;0,11428571428571428;1,0;0,20512820512820512;lof;duracao
3;40-55;4;35;31;0;0,5571428571428572;0,11428571428571428;1,0;0,20512820512820512;lof;duracao
4;40-55;7;35;28;0;0,6;0,2;1,0;0,33333333333333337;lof;duracao
5;40-55;11;35;24;0;0,6571428571428571;0,3142857142857143;1,0;0,4782608695652174;lof;duracao
6;40-55;10;35;25;0;0,6428571428571429;0,2857142857142857;1,0;0,4444444444444445;lof;duracao
7;40-55;11;35;24;0;0,6571428571428571;0,3142857142857143;1,0;0,4782608695652174;lof;duracao
8;40-55;12;35;23;0;0,6714285714285714;0,34285714285714286;1,0;0,5106382978723404;lof;duracao
9;40-55;13;35;22;0;0,6857142857142857;0,37142857142857144;1,0;0,5416666666666666;lof;duracao
10;40-55;14;35;21;0;0,7;0,4;1,0;0,5714285714285715;lof;duracao
11;40-55;13;35;22;0;0,6857142857142857;0,37142857142857144;1,0;0,5416666666666666;lof;duracao
12;40-55;13;35;22;0;0,6857142857142857;0,37142857142857144;1,0;0,5416666666666666;lof;duracao
13;40-55;13;35;22;0;0,6857142857142857;0,37142857142857144;1,0;0,5416666666666666;lof;duracao
14;40-55;13;35;22;0;0,6857142857142857;0,37142857142857144;1,0;0,5416666666666666;lof;duracao
15;40-55;16;35;19;0;0,7285714285714285;0,45714285714285713;1,0;0,6274509803921569;lof;duracao
16;40-55;16;35;19;0;0,7285714285714285;0,45714285714285713;1,0;0,6274509803921569;lof;duracao
17;40-55;18;34;17;1;0,7428571428571429;0,5142857142857142;0,9473684210526315;0,6666666666666666;lof;duracao
18;40-55;19;34;16;1;0,7571428571428571;0,5428571428571428;0,95;0,6909090909090908;lof;duracao
