semanas;variacao;vp;vn;fp;fn;acuracia;precisao;sensibilidade;f1score;algoritmo
1;80-95;34;35;1;0;0,9857142857142858;0,9714285714285714;1,0;0,9855072463768115;lof
2;80-95;34;35;1;0;0,9857142857142858;0,9714285714285714;1,0;0,9855072463768115;lof
3;80-95;34;35;1;0;0,9857142857142858;0,9714285714285714;1,0;0,9855072463768115;lof
4;80-95;34;35;1;0;0,9857142857142858;0,9714285714285714;1,0;0,9855072463768115;lof
5;80-95;35;35;0;0;1,0;1,0;1,0;1,0;lof
6;80-95;35;35;0;0;1,0;1,0;1,0;1,0;lof
7;80-95;35;35;0;0;1,0;1,0;1,0;1,0;lof
8;80-95;35;35;0;0;1,0;1,0;1,0;1,0;lof
9;80-95;35;35;0;0;1,0;1,0;1,0;1,0;lof
10;80-95;35;35;0;0;1,0;1,0;1,0;1,0;lof
11;80-95;35;35;0;0;1,0;1,0;1,0;1,0;lof
12;80-95;35;35;0;0;1,0;1,0;1,0;1,0;lof
13;80-95;35;35;0;0;1,0;1,0;1,0;1,0;lof
14;80-95;35;35;0;0;1,0;1,0;1,0;1,0;lof
15;80-95;35;35;0;0;1,0;1,0;1,0;1,0;lof
16;80-95;35;35;0;0;1,0;1,0;1,0;1,0;lof
17;80-95;35;35;0;0;1,0;1,0;1,0;1,0;lof
18;80-95;35;35;0;0;1,0;1,0;1,0;1,0;lof
