semanas;variacao;vp;vn;fp;fn;acuracia;precisao;sensibilidade;f1score;algoritmo;variavel
1;80-95;14;35;21;0;0,7;0,4;1,0;0,5714285714285715;iforest;dfreq
2;80-95;30;35;5;0;0,9285714285714286;0,8571428571428571;1,0;0,923076923076923;iforest;dfreq
3;80-95;29;35;6;0;0,9142857142857143;0,8285714285714286;1,0;0,90625;iforest;dfreq
4;80-95;28;35;7;0;0,9;0,8;1,0;0,888888888888889;iforest;dfreq
5;80-95;27;35;8;0;0,8857142857142857;0,7714285714285715;1,0;0,870967741935484;iforest;dfreq
6;80-95;30;35;5;0;0,9285714285714286;0,8571428571428571;1,0;0,923076923076923;iforest;dfreq
7;80-95;31;35;4;0;0,9428571428571428;0,8857142857142857;1,0;0,9393939393939393;iforest;dfreq
8;80-95;31;35;4;0;0,9428571428571428;0,8857142857142857;1,0;0,9393939393939393;iforest;dfreq
9;80-95;32;35;3;0;0,9571428571428572;0,9142857142857143;1,0;0,955223880597015;iforest;dfreq
10;80-95;31;35;4;0;0,9428571428571428;0,8857142857142857;1,0;0,9393939393939393;iforest;dfreq
11;80-95;31;35;4;0;0,9428571428571428;0,8857142857142857;1,0;0,9393939393939393;iforest;dfreq
12;80-95;31;35;4;0;0,9428571428571428;0,8857142857142857;1,0;0,9393939393939393;iforest;dfreq
13;80-95;31;35;4;0;0,9428571428571428;0,8857142857142857;1,0;0,9393939393939393;iforest;dfreq
14;80-95;32;35;3;0;0,9571428571428572;0,9142857142857143;1,0;0,955223880597015;iforest;dfreq
15;80-95;33;35;2;0;0,9714285714285714;0,9428571428571428;1,0;0,9705882352941176;iforest;dfreq
16;80-95;33;34;2;1;0,9571428571428572;0,9428571428571428;0,9705882352941176;0,9565217391304348;iforest;dfreq
17;80-95;32;35;3;0;0,9571428571428572;0,9142857142857143;1,0;0,955223880597015;iforest;dfreq
18;80-95;32;35;3;0;0,9571428571428572;0,9142857142857143;1,0;0,955223880597015;iforest;dfreq
