semanas;variacao;vp;vn;fp;fn;acuracia;precisao;sensibilidade;f1score;algoritmo;variavel
1;40-55;34;5;1;30;0,5571428571428572;0,9714285714285714;0,53125;0,6868686868686867;rce;frequencia
2;40-55;29;35;6;0;0,9142857142857143;0,8285714285714286;1,0;0,90625;rce;frequencia
3;40-55;29;33;6;2;0,8857142857142857;0,8285714285714286;0,9354838709677419;0,8787878787878788;rce;frequencia
4;40-55;26;35;9;0;0,8714285714285714;0,7428571428571429;1,0;0,8524590163934427;rce;frequencia
5;40-55;26;35;9;0;0,8714285714285714;0,7428571428571429;1,0;0,8524590163934427;rce;frequencia
6;40-55;25;35;10;0;0,8571428571428571;0,7142857142857143;1,0;0,8333333333333333;rce;frequencia
7;40-55;28;35;7;0;0,9;0,8;1,0;0,888888888888889;rce;frequencia
8;40-55;27;35;8;0;0,8857142857142857;0,7714285714285715;1,0;0,870967741935484;rce;frequencia
9;40-55;24;35;11;0;0,8428571428571429;0,6857142857142857;1,0;0,8135593220338984;rce;frequencia
10;40-55;29;35;6;0;0,9142857142857143;0,8285714285714286;1,0;0,90625;rce;frequencia
11;40-55;24;35;11;0;0,8428571428571429;0,6857142857142857;1,0;0,8135593220338984;rce;frequencia
12;40-55;24;35;11;0;0,8428571428571429;0,6857142857142857;1,0;0,8135593220338984;rce;frequencia
13;40-55;24;35;11;0;0,8428571428571429;0,6857142857142857;1,0;0,8135593220338984;rce;frequencia
14;40-55;24;35;11;0;0,8428571428571429;0,6857142857142857;1,0;0,8135593220338984;rce;frequencia
15;40-55;31;35;4;0;0,9428571428571428;0,8857142857142857;1,0;0,9393939393939393;rce;frequencia
16;40-55;24;35;11;0;0,8428571428571429;0,6857142857142857;1,0;0,8135593220338984;rce;frequencia
17;40-55;25;35;10;0;0,8571428571428571;0,7142857142857143;1,0;0,8333333333333333;rce;frequencia
18;40-55;25;35;10;0;0,8571428571428571;0,7142857142857143;1,0;0,8333333333333333;rce;frequencia
