semanas;variacao;vp;vn;fp;fn;acuracia;precisao;sensibilidade;f1score;algoritmo
1;20-35;15;29;20;6;0,6285714285714286;0,42857142857142855;0,7142857142857143;0,5357142857142858;iforest
2;20-35;18;26;17;9;0,6285714285714286;0,5142857142857142;0,6666666666666666;0,5806451612903226;iforest
3;20-35;12;35;23;0;0,6714285714285714;0,34285714285714286;1,0;0,5106382978723404;iforest
4;20-35;6;35;29;0;0,5857142857142857;0,17142857142857143;1,0;0,2926829268292683;iforest
5;20-35;8;35;27;0;0,6142857142857143;0,22857142857142856;1,0;0,3720930232558139;iforest
6;20-35;11;35;24;0;0,6571428571428571;0,3142857142857143;1,0;0,4782608695652174;iforest
7;20-35;13;35;22;0;0,6857142857142857;0,37142857142857144;1,0;0,5416666666666666;iforest
8;20-35;9;35;26;0;0,6285714285714286;0,2571428571428571;1,0;0,40909090909090906;iforest
9;20-35;15;35;20;0;0,7142857142857143;0,42857142857142855;1,0;0,6;iforest
10;20-35;16;35;19;0;0,7285714285714285;0,45714285714285713;1,0;0,6274509803921569;iforest
11;20-35;15;35;20;0;0,7142857142857143;0,42857142857142855;1,0;0,6;iforest
12;20-35;10;35;25;0;0,6428571428571429;0,2857142857142857;1,0;0,4444444444444445;iforest
13;20-35;17;34;18;1;0,7285714285714285;0,4857142857142857;0,9444444444444444;0,6415094339622641;iforest
14;20-35;13;35;22;0;0,6857142857142857;0,37142857142857144;1,0;0,5416666666666666;iforest
15;20-35;19;33;16;2;0,7428571428571429;0,5428571428571428;0,9047619047619048;0,6785714285714285;iforest
16;20-35;18;34;17;1;0,7428571428571429;0,5142857142857142;0,9473684210526315;0,6666666666666666;iforest
17;20-35;19;34;16;1;0,7571428571428571;0,5428571428571428;0,95;0,6909090909090908;iforest
18;20-35;17;35;18;0;0,7428571428571429;0,4857142857142857;1,0;0,6538461538461539;iforest
