semanas;variacao;vp;vn;fp;fn;acuracia;precisao;sensibilidade;f1score;algoritmo;variavel
1;20-35;30;25;5;10;0,7857142857142857;0,8571428571428571;0,75;0,7999999999999999;rce;dfreq
2;20-35;34;32;1;3;0,9428571428571428;0,9714285714285714;0,918918918918919;0,9444444444444445;rce;dfreq
3;20-35;34;35;1;0;0,9857142857142858;0,9714285714285714;1,0;0,9855072463768115;rce;dfreq
4;20-35;34;25;1;10;0,8428571428571429;0,9714285714285714;0,7727272727272727;0,8607594936708862;rce;dfreq
5;20-35;34;32;1;3;0,9428571428571428;0,9714285714285714;0,918918918918919;0,9444444444444445;rce;dfreq
6;20-35;34;34;1;1;0,9714285714285714;0,9714285714285714;0,9714285714285714;0,9714285714285714;rce;dfreq
7;20-35;34;35;1;0;0,9857142857142858;0,9714285714285714;1,0;0,9855072463768115;rce;dfreq
8;20-35;34;34;1;1;0,9714285714285714;0,9714285714285714;0,9714285714285714;0,9714285714285714;rce;dfreq
9;20-35;34;35;1;0;0,9857142857142858;0,9714285714285714;1,0;0,9855072463768115;rce;dfreq
10;20-35;34;35;1;0;0,9857142857142858;0,9714285714285714;1,0;0,9855072463768115;rce;dfreq
11;20-35;34;35;1;0;0,9857142857142858;0,9714285714285714;1,0;0,9855072463768115;rce;dfreq
12;20-35;34;35;1;0;0,9857142857142858;0,9714285714285714;1,0;0,9855072463768115;rce;dfreq
13;20-35;34;35;1;0;0,9857142857142858;0,9714285714285714;1,0;0,9855072463768115;rce;dfreq
14;20-35;34;35;1;0;0,9857142857142858;0,9714285714285714;1,0;0,9855072463768115;rce;dfreq
15;20-35;34;35;1;0;0,9857142857142858;0,9714285714285714;1,0;0,9855072463768115;rce;dfreq
16;20-35;34;35;1;0;0,9857142857142858;0,9714285714285714;1,0;0,9855072463768115;rce;dfreq
17;20-35;34;35;1;0;0,9857142857142858;0,9714285714285714;1,0;0,9855072463768115;rce;dfreq
18;20-35;34;34;1;1;0,9714285714285714;0,9714285714285714;0,9714285714285714;0,9714285714285714;rce;dfreq
