semanas;variacao;vp;vn;fp;fn;acuracia;precisao;sensibilidade;f1score;algoritmo;variavel
1;40-55;0;32;35;3;0,45714285714285713;0,0;0,0;0,0;iforest;frequencia
2;40-55;4;28;31;7;0,45714285714285713;0,11428571428571428;0,36363636363636365;0,17391304347826086;iforest;frequencia
3;40-55;5;33;30;2;0,5428571428571428;0,14285714285714285;0,7142857142857143;0,23809523809523808;iforest;frequencia
4;40-55;6;33;29;2;0,5571428571428572;0,17142857142857143;0,75;0,2790697674418604;iforest;frequencia
5;40-55;9;32;26;3;0,5857142857142857;0,2571428571428571;0,75;0,3829787234042553;iforest;frequencia
6;40-55;11;32;24;3;0,6142857142857143;0,3142857142857143;0,7857142857142857;0,44897959183673464;iforest;frequencia
7;40-55;11;32;24;3;0,6142857142857143;0,3142857142857143;0,7857142857142857;0,44897959183673464;iforest;frequencia
8;40-55;11;32;24;3;0,6142857142857143;0,3142857142857143;0,7857142857142857;0,44897959183673464;iforest;frequencia
9;40-55;11;32;24;3;0,6142857142857143;0,3142857142857143;0,7857142857142857;0,44897959183673464;iforest;frequencia
10;40-55;8;34;27;1;0,6;0,22857142857142856;0,8888888888888888;0,3636363636363636;iforest;frequencia
11;40-55;9;32;26;3;0,5857142857142857;0,2571428571428571;0,75;0,3829787234042553;iforest;frequencia
12;40-55;9;32;26;3;0,5857142857142857;0,2571428571428571;0,75;0,3829787234042553;iforest;frequencia
13;40-55;10;32;25;3;0,6;0,2857142857142857;0,7692307692307693;0,41666666666666663;iforest;frequencia
14;40-55;10;32;25;3;0,6;0,2857142857142857;0,7692307692307693;0,41666666666666663;iforest;frequencia
15;40-55;9;32;26;3;0,5857142857142857;0,2571428571428571;0,75;0,3829787234042553;iforest;frequencia
16;40-55;11;32;24;3;0,6142857142857143;0,3142857142857143;0,7857142857142857;0,44897959183673464;iforest;frequencia
17;40-55;11;32;24;3;0,6142857142857143;0,3142857142857143;0,7857142857142857;0,44897959183673464;iforest;frequencia
18;40-55;14;32;21;3;0,6571428571428571;0,4;0,8235294117647058;0,5384615384615384;iforest;frequencia
