semanas;variacao;vp;vn;fp;fn;acuracia;precisao;sensibilidade;f1score;algoritmo
1;20-35;32;35;3;0;0,9571428571428572;0,9142857142857143;1,0;0,955223880597015;lof
2;20-35;32;35;3;0;0,9571428571428572;0,9142857142857143;1,0;0,955223880597015;lof
3;20-35;32;35;3;0;0,9571428571428572;0,9142857142857143;1,0;0,955223880597015;lof
4;20-35;32;35;3;0;0,9571428571428572;0,9142857142857143;1,0;0,955223880597015;lof
5;20-35;33;35;2;0;0,9714285714285714;0,9428571428571428;1,0;0,9705882352941176;lof
6;20-35;34;35;1;0;0,9857142857142858;0,9714285714285714;1,0;0,9855072463768115;lof
7;20-35;34;35;1;0;0,9857142857142858;0,9714285714285714;1,0;0,9855072463768115;lof
8;20-35;34;35;1;0;0,9857142857142858;0,9714285714285714;1,0;0,9855072463768115;lof
9;20-35;34;35;1;0;0,9857142857142858;0,9714285714285714;1,0;0,9855072463768115;lof
10;20-35;35;35;0;0;1,0;1,0;1,0;1,0;lof
11;20-35;35;35;0;0;1,0;1,0;1,0;1,0;lof
12;20-35;35;35;0;0;1,0;1,0;1,0;1,0;lof
13;20-35;35;35;0;0;1,0;1,0;1,0;1,0;lof
14;20-35;35;35;0;0;1,0;1,0;1,0;1,0;lof
15;20-35;35;35;0;0;1,0;1,0;1,0;1,0;lof
16;20-35;35;35;0;0;1,0;1,0;1,0;1,0;lof
17;20-35;35;35;0;0;1,0;1,0;1,0;1,0;lof
18;20-35;35;35;0;0;1,0;1,0;1,0;1,0;lof
