semanas;variacao;vp;vn;fp;fn;acuracia;precisao;sensibilidade;f1score;algoritmo
1;20-95;34;35;1;0;0,9857142857142858;0,9714285714285714;1,0;0,9855072463768115;lof
2;20-95;34;35;1;0;0,9857142857142858;0,9714285714285714;1,0;0,9855072463768115;lof
3;20-95;34;35;1;0;0,9857142857142858;0,9714285714285714;1,0;0,9855072463768115;lof
4;20-95;34;35;1;0;0,9857142857142858;0,9714285714285714;1,0;0,9855072463768115;lof
5;20-95;35;35;0;0;1,0;1,0;1,0;1,0;lof
6;20-95;35;35;0;0;1,0;1,0;1,0;1,0;lof
7;20-95;35;35;0;0;1,0;1,0;1,0;1,0;lof
8;20-95;35;35;0;0;1,0;1,0;1,0;1,0;lof
9;20-95;35;35;0;0;1,0;1,0;1,0;1,0;lof
10;20-95;35;35;0;0;1,0;1,0;1,0;1,0;lof
11;20-95;35;35;0;0;1,0;1,0;1,0;1,0;lof
12;20-95;35;35;0;0;1,0;1,0;1,0;1,0;lof
13;20-95;35;35;0;0;1,0;1,0;1,0;1,0;lof
14;20-95;35;35;0;0;1,0;1,0;1,0;1,0;lof
15;20-95;35;35;0;0;1,0;1,0;1,0;1,0;lof
16;20-95;35;35;0;0;1,0;1,0;1,0;1,0;lof
17;20-95;35;35;0;0;1,0;1,0;1,0;1,0;lof
18;20-95;35;35;0;0;1,0;1,0;1,0;1,0;lof
