semanas;variacao;vp;vn;fp;fn;acuracia;precisao;sensibilidade;f1score;algoritmo
1;40-55;35;35;0;0;1,0;1,0;1,0;1,0;lof
2;40-55;35;35;0;0;1,0;1,0;1,0;1,0;lof
3;40-55;35;35;0;0;1,0;1,0;1,0;1,0;lof
4;40-55;35;35;0;0;1,0;1,0;1,0;1,0;lof
5;40-55;35;35;0;0;1,0;1,0;1,0;1,0;lof
6;40-55;35;35;0;0;1,0;1,0;1,0;1,0;lof
7;40-55;35;35;0;0;1,0;1,0;1,0;1,0;lof
8;40-55;35;35;0;0;1,0;1,0;1,0;1,0;lof
9;40-55;35;35;0;0;1,0;1,0;1,0;1,0;lof
10;40-55;35;35;0;0;1,0;1,0;1,0;1,0;lof
11;40-55;35;35;0;0;1,0;1,0;1,0;1,0;lof
12;40-55;35;35;0;0;1,0;1,0;1,0;1,0;lof
13;40-55;35;35;0;0;1,0;1,0;1,0;1,0;lof
14;40-55;35;35;0;0;1,0;1,0;1,0;1,0;lof
15;40-55;35;35;0;0;1,0;1,0;1,0;1,0;lof
16;40-55;35;35;0;0;1,0;1,0;1,0;1,0;lof
17;40-55;35;35;0;0;1,0;1,0;1,0;1,0;lof
18;40-55;35;35;0;0;1,0;1,0;1,0;1,0;lof
