semanas;variacao;vp;vn;fp;fn;acuracia;precisao;sensibilidade;f1score;algoritmo
1;20-35;35;30;0;5;0,9285714285714286;1,0;0,875;0,9333333333333333;rce
2;20-35;35;25;0;10;0,8571428571428571;1,0;0,7777777777777778;0,8750000000000001;rce
3;20-35;28;31;7;4;0,8428571428571429;0,8;0,875;0,8358208955223881;rce
4;20-35;34;35;1;0;0,9857142857142858;0,9714285714285714;1,0;0,9855072463768115;rce
5;20-35;34;35;1;0;0,9857142857142858;0,9714285714285714;1,0;0,9855072463768115;rce
6;20-35;34;35;1;0;0,9857142857142858;0,9714285714285714;1,0;0,9855072463768115;rce
7;20-35;35;35;0;0;1,0;1,0;1,0;1,0;rce
8;20-35;34;35;1;0;0,9857142857142858;0,9714285714285714;1,0;0,9855072463768115;rce
9;20-35;34;35;1;0;0,9857142857142858;0,9714285714285714;1,0;0,9855072463768115;rce
10;20-35;34;35;1;0;0,9857142857142858;0,9714285714285714;1,0;0,9855072463768115;rce
11;20-35;33;35;2;0;0,9714285714285714;0,9428571428571428;1,0;0,9705882352941176;rce
12;20-35;33;34;2;1;0,9571428571428572;0,9428571428571428;0,9705882352941176;0,9565217391304348;rce
13;20-35;34;35;1;0;0,9857142857142858;0,9714285714285714;1,0;0,9855072463768115;rce
14;20-35;34;35;1;0;0,9857142857142858;0,9714285714285714;1,0;0,9855072463768115;rce
15;20-35;33;35;2;0;0,9714285714285714;0,9428571428571428;1,0;0,9705882352941176;rce
16;20-35;33;35;2;0;0,9714285714285714;0,9428571428571428;1,0;0,9705882352941176;rce
17;20-35;33;35;2;0;0,9714285714285714;0,9428571428571428;1,0;0,9705882352941176;rce
18;20-35;33;35;2;0;0,9714285714285714;0,9428571428571428;1,0;0,9705882352941176;rce
